UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A0A644EY58	GL50803_61578	83.1	Kinase, NEK	Serine/threonine-protein kinase Nek7	KIDINS220 protein	NIMA related kinase 4	Protein kinase domain-containing protein	515
A0A644EXS9	GL50803_33037	80.58	Zinc finger domain-containing protein	Zinc finger MYND domain-containing protein 12	MYND-type domain-containing protein	Zinc finger, MYND domain-containing 12	Tetratricopeptide repeat protein	84
A0A644EWZ5	GL50803_61458	85.52	Solute carrier family 35	Solute carrier family 35 member F6	PALP domain-containing protein	Solute carrier family 35 member F6	TPT domain-containing protein	171
A0A644EXW8	GL50803_50375	85.44	VSP	Variant-specific surface protein VSP4A1	Variant-specific surface protein VSP4A1	Proprotein convertase subtilisin/kexin type 6	Variant-specific surface protein	177
A0A644EY20	GL50803_13342	74.71	EF-hand domain-containing protein	Calcyphosin	Calcyphosine	Unplaced genomic scaffold supercont1.5, whole genome shotgun sequence	Calmodulin	248
A0A644EY49	GL50803_7035	62.26	Uncharacterized protein	None	SJCHGC03514 protein	None	SJCHGC03514 protein	1
A0A644EY08	GL50803_50379	87.27	VSP	R-spondin-3	VSP	Proprotein convertase subtilisin/kexin type 6	Variant-specific surface protein	263
A0A644EXT8	GL50803_40517	41.13	Uncharacterized protein	None	None	None	None	0
A0A644EXU2	GL50803_137612	85.43	VSP	Major surface-labeled trophozoite antigen 417	VSP	None	Variant-specific surface protein	202
A0A644EXR3	GL50803_102542	79.29	Kinase, NEK	Serine/threonine-protein kinase Nek7	Protein kinase domain-containing protein	Serine/threonine-protein kinase Nek7	Protein kinase domain-containing protein	492
A0A644EY15	GL50803_50380	83.81	High cysteine membrane protein Group 5	None	IMPG2	None	Chondroitin sulfate proteoglycan 5	4
A0A644EXU7	GL50803_40521	92.82	Shwachman-Bodian-Diamond protein	Ribosome maturation protein SDO1 homolog	Shwachman-Bodian-Diamond protein-like protein	Ribosome maturation protein SBDS	Elongation factor G	585
A0A644EWT4	GL50803_137614	84.34	VSP	Variant-specific surface protein VSP4A1	Variant-specific surface protein VSP4A1	R-spondin-1	Variant-specific surface protein	155
A0A644EXS6	GL50803_27308	85.8	Dynein light chain LC4	Dynein axonemal light chain 4	Dynein light chain	Dynein light chain	Dynein light chain	862
A0A644EXP1	GL50803_112932	97.04	Cell motility MEMO family protein	Protein MEMO1 homolog	Cell motility MEMO family protein	AmmeMemoRadiSam system protein B	AmmeMemoRadiSam system protein B	268
A0A644EY77	GL50803_101805	85.98	High cysteine membrane protein Group 1	None	High cysteine membrane protein Group 1	None	Variant-specific surface protein	173
A0A644EY87	GL50803_2902	81.55	Argonaute	Protein argonaute	Protein argonaute	Piwi-like protein	Piwi domain-containing protein	194
A0A644EXM4	GL50803_7655	65.44	Tubulin binding cofactor C	Protein XRP2	C-CAP/cofactor C-like domain-containing protein	Protein XRP2	Tubulin-folding cofactor C	313
A0A644EY12	GL50803_61550	82.13	Superoxide reductase (Desulfoferredoxin)	Superoxide reductase	Superoxide reductase (Desulfoferredoxin)	Arylsulfotransferase	Desulfoferrodoxin	19
A0A644EXZ4	GL50803_41227	87.2	VSP	Surface antigen CRP170	VSP	None	Variant-specific surface protein	182
A0A644EXT6	GL50803_16006	88.96	Leucine-rich repeat protein	Protein phosphatase 1 regulatory subunit 42	Protein phosphatase 1 regulatory subunit 42	Protein phosphatase 1 regulatory subunit 42	Por_Secre_tail domain-containing protein	33
A0A644EXM5	GL50803_50443	37.44	High cysteine protein	None	None	None	None	0
A0A644EXQ8	GL50803_39210	42.4	Uncharacterized protein	Thyroid adenoma-associated protein homolog	Armadillo-like helical	None	Thyroid adenoma-associated protein homolog	1
A0A644EY73	GL50803_16581	34.24	Uncharacterized protein	None	None	None	None	0
A0A644EXP6	GL50803_221689	88.83	Xenobiotic-transporting ATPase	ABC transporter C family member 13	Multidrug resistance-associated protein 7	ABC transporter C family member 13	ABC transporter ATP-binding protein	219
A0A644EXN3	GL50803_16205	86.19	Kinase, NEK	Serine/threonine-protein kinase Nek6	Protein kinase domain-containing protein	Serine/threonine-protein kinase Nek6	Protein kinase domain-containing protein	406
A0A644EXS1	GL50803_61478	45.11	Vps4 C terminal oligomerization domain-containing protein	None	None	None	None	0
A0A644EZN0	GL50803_16639	85	Elongator complex protein 3	Elongator complex protein 3	Elongator complex protein 3	Elongator complex protein 3	Radical SAM protein	254
A0A644EYZ4	GL50803_15064	75.62	Kinase, NEK	Serine/threonine-protein kinase Nek7	Predicted protein	Serine/threonine-protein kinase Nek7	Protein kinase domain-containing protein	214
A0A644EYV3	GL50803_61575	78.32	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B	DNA-dependent RNA polymerase beta' subunit/160 kD subunit	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	494
A0A644EZR6	GL50803_6584	80.68	Cyclin family protein	Cyclin-U4-3	Cyclin-U4-3	Cyclin-U4-3	Cyclin N-terminal domain-containing protein	171
A0A644EZ26	GL50803_61641	88.22	Ankyrin repeat protein 1	Ankyrin repeat, PH and SEC7 domain containing protein secG	Ankyrin repeat protein	S-acyltransferase	Ankyrin_rpt-contain_dom domain-containing protein	98
A0A644EZP5	GL50803_17502	83.22	GPI mannosyltransferase 1	GPI mannosyltransferase 1	GPI mannosyltransferase 1	GPI mannosyltransferase 1	GPI mannosyltransferase 1	300
A0A644EZK6	GL50803_10444	38.82	Uncharacterized protein	None	None	None	None	0
A0A644EYQ9	GL50803_17346	74.9	Ribonuclease H2 subunit B wHTH domain-containing protein	Ribonuclease H2 subunit B	Ribonuclease H2 subunit B	Ribonuclease H2 subunit B	Ribonuclease H2 subunit B	165
A0A644EYH3	GL50803_13926	75.88	Ribonucloprotein	H/ACA ribonucleoprotein complex subunit 2-like protein	Ribonucloprotein	Ribonucloprotein	40S ribosomal protein S12	254
A0A644EYB1	GL50803_14800	78.29	Ankyrin repeat protein 3	KN motif and ankyrin repeat domain-containing protein 2	ankyrin repeat and SAM domain-containing protein 1A-like isoform X2	Ankyrin repeat domain 6b	Ankyrin_rpt-contain_dom domain-containing protein	53
A0A644EYZ8	GL50803_61646	62.65	Uncharacterized protein	Dynamin-binding protein	Ni_hydr_CYTB domain-containing protein	Dynamin-binding protein	Katanin p60 ATPase-containing subunit A1	29
A0A644EZ60	GL50803_12828	34.67	Uncharacterized protein	None	None	None	None	0
A0A644EYK7	GL50803_17045	27.06	Uncharacterized protein	None	None	None	None	0
A0A644EYQ1	GL50803_112937	80.59	Ankyrin repeat protein 1	Protein fem-1 homolog C	Protein 21.1	Protein fem-1 homolog B	Ankyrin repeat protein 1	185
A0A644EYF0	GL50803_61593	80.07	Uncharacterized protein	None	R3H domain-containing protein	RE54994p	DUF4804 domain-containing protein	15
A0A644EZT4	GL50803_13310	54.45	TFIIS N-terminal domain-containing protein	None	None	None	None	0
A0A644EYK1	GL50803_61472	81.38	Ankyrin repeat protein 2	26S proteasome non-ATPase regulatory subunit 10	Ankyrin repeat protein	ANK_REP_REGION domain-containing protein	Ankyrin repeat protein 1	230
A0A644EZE9	GL50803_14003	41.28	Nuclear pore protein	Tetratricopeptide repeat protein 19, mitochondrial	Tetratricopeptide repeat protein	TPR_REGION domain-containing protein	Tetratricopeptide repeat protein	6
A0A644EZQ3	GL50803_61724	87.19	Ankyrin repeat protein 1	Receptor-interacting serine/threonine-protein kinase 4	Ankyrin repeat protein	S-acyltransferase	Protein 21.1	109
A0A644EZT7	GL50803_14622	55.7	60S ribosomal protein L13	60S ribosomal protein L13	60S ribosomal protein L13	60S ribosomal protein L13	60S ribosomal protein L13	220
A0A644EYZ3	GL50803_7524	52.09	Uncharacterized protein	Charged multivesicular body protein 7	TIR domain-containing protein	SNF7 family protein	Probable [Fe-S]-dependent transcriptional repressor	32
A0A644EYW9	GL50803_87202	87.31	TPR repeat family protein	Tetratricopeptide repeat protein 30A2	Tetratricopeptide repeat protein 30	Tetratricopeptide repeat protein 30A2	Tetratricopeptide repeat protein	230
A0A644EYS0	GL50803_61489	81.11	Ankyrin repeat protein 2	DNA-binding protein RFXANK	Ankyrin repeat protein	ANK_REP_REGION domain-containing protein	Ankyrin repeat protein 1	228
A0A644EZ43	GL50803_7511	93.97	Inosine triphosphate pyrophosphatase	Inosine triphosphate pyrophosphatase	Inosine triphosphate pyrophosphatase	Inosine triphosphate pyrophosphatase	dITP/XTP pyrophosphatase	681
A0A644EYB0	GL50803_14818	48.69	Spindle pole protein	None	None	None	None	0
A0A644EYW8	GL50803_15063	87.61	Long chain fatty acid CoA ligase 5	Long-chain-fatty-acid--CoA ligase 1	AMP-binding domain-containing protein	Long-chain-fatty-acid--CoA ligase 1	Acetyl-coenzyme A synthetase	227
A0A644EZM8	GL50803_32399	39.35	CYRIA/CYRIB Rac1 binding domain-containing protein	None	None	None	None	0
A0A644EZQ5	GL50803_8377	84.05	TM nitroreductase	FMN reductase [NAD(P)H]	TM1586_NiRdase domain-containing protein	Nitroreductase domain containing protein	Nitroreductase family protein	263
A0A644EZ47	GL50803_115694	73.52	SprT-like family protein	DNA-dependent metalloprotease dvc-1	SprT-like domain-containing protein	DNA-dependent metalloprotease dvc-1	SprT-like domain-containing protein	384
A0A644EZT8	GL50803_8064	88.39	Protein disulfide isomerase PDI5	Thioredoxin domain-containing protein 5 homolog	Protein disulfide-isomerase	Thioredoxin domain-containing protein 5 homolog	Thioredoxin	556
A0A644EZX7	GL50803_15413	53.19	RER1-like protein-retention of ER protein	None	RER1-like protein-retention of ER protein	None	RER1-like protein-retention of ER protein	1
A0A644EYL3	GL50803_17165	69.24	ABC transporter, ATP-binding protein	Phospholipid-transporting ATPase ABCA3	Int-abc_transporter_10	Phospholipid-transporting ATPase ABCA3	ABC transporter ATP-binding protein	298
A0A644EYW7	GL50803_15062	54.02	Uncharacterized protein	Eukaryotic translation initiation factor 3 subunit A	DUF4297 domain-containing protein	Eukaryotic translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3 subunit A	15
A0A644EZ44	GL50803_13651	52.43	Uncharacterized protein	None	Sorting nexin-41	None	Sorting nexin-41	1
A0A644EZI1	GL50803_61626	43.59	Uncharacterized protein	None	None	None	None	0
A0A644EZI2	GL50803_10856	93.19	Alpha-snap	Gamma-soluble NSF attachment protein	CSON005978 protein	N-ethylmaleimide-sensitive factor attachment protein, gamma a	Tetratricopeptide repeat protein	144
A0A644EZZ4	GL50803_5659	87.38	methionine adenosyltransferase	Probable S-adenosylmethionine synthase 3	S-adenosylmethionine synthase	S-adenosylmethionine synthase	S-adenosylmethionine synthase	1188
A0A644EYM0	GL50803_50444	38.69	High cysteine protein	None	None	None	None	0
A0A644EZ37	GL50803_7521	49.55	Uncharacterized protein	None	None	None	None	0
A0A644EYH9	GL50803_5116	32.75	Uncharacterized protein	None	None	None	None	0
A0A644EZE6	GL50803_16722	78.48	Xaa-Pro dipeptidase	Xaa-Pro dipeptidase	Xaa-Pro dipeptidase	Aminopeptidase P	Aminopeptidase P family protein	324
A0A644EYQ3	GL50803_94143	49.18	Uncharacterized protein	None	GPDPase_memb domain-containing protein	None	GPDPase_memb domain-containing protein	1
A0A644EYX5	GL50803_4270	82.74	FERM domain-containing protein	Myosin-I heavy chain	FERM domain-containing protein	Si:ch73-194h10.2	FERM domain-containing protein	155
A0A644EZ00	GL50803_3598	52.95	Nup53/35/40-type RNA recognition motif-containing protein	Nucleoporin NUP35	Nucleoporin	Nucleoporin NUP35	RRM domain-containing protein	221
A0A644EZH0	GL50803_61708	53.27	Las1-like protein	Ribosomal biogenesis protein LAS1L	Las1-like protein	Unplaced genomic scaffold supercont1.1, whole genome shotgun sequence	Las1-domain-containing protein	35
A0A644EZK1	GL50803_16641	63.25	Ataxin-10 domain-containing protein	Copper transport protein 86	Atx10homo_assoc domain-containing protein	Atx10homo assoc domain containing protein	Copper transport protein 86	122
A0A644EZW7	GL50803_16862	91.37	Kinase, NEK	Serine/threonine-protein kinase Nek3	Protein kinase domain-containing protein	Serine/threonine-protein kinase Nek2	Protein kinase domain-containing protein	495
A0A644EZ07	GL50803_8860	84.95	Kinase, NEK	Serine/threonine-protein kinase Nek8	Ankrd17 protein	Serine/threonine-protein kinase Nek8	Protein kinase domain-containing protein	563
A0A644EYW6	GL50803_61549	81.24	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 6	Transient receptor potential cation channel subfamily A member 1	Ankyrin repeat-containing protein ITN1	Ankyrin_rpt-contain_dom domain-containing protein	57
A0A644EYA9	GL50803_61589	51.82	Spec3 membrane protein	None	Spec3 membrane protein	None	Spec3 membrane protein	2
A0A644EYA2	GL50803_61590	73.74	LSM domain-containing protein	U6 snRNA-associated Sm-like protein LSm1	Sm domain-containing protein	U6 snRNA-associated Sm-like protein LSm1	U6 snRNA-associated Sm-like protein LSm1	344
A0A644EZB9	GL50803_60191	62.29	Ribosomal protein L39	None	None	None	None	0
A0A644EYV6	GL50803_9858	36.85	Uncharacterized protein	None	None	None	None	0
A0A644EZ50	GL50803_61606	57.42	Uncharacterized protein	None	FGE-sulfatase domain-containing protein	None	FGE-sulfatase domain-containing protein	1
A0A644EYN4	GL50803_1875	74.72	Uncharacterized protein	Docking protein 6	Ran-binding protein 3 (Trinotate prediction)	BMA-AEX-3	FACT complex subunit SSRP1	106
A0A644EZP8	GL50803_10270	48.36	Uncharacterized protein	Branchpoint-bridging protein	splicing factor-like protein 1	Branchpoint-bridging protein	KH domain-containing protein	298
A0A644EZ96	GL50803_61675	82.99	Papain family peptidase	Cathepsin B-like CP3	Cathepsin B	Cathepsin B-like protease 2	Pept_C1 domain-containing protein	303
A0A644EZ98	GL50803_16761	53.35	Spindle pole protein	None	10 kDa culture filtrate antigen EsxB (LHP) (CFP10) [Mycobacterium tuberculosis H37Rv]	None	10 kDa culture filtrate antigen EsxB (LHP) (CFP10) [Mycobacterium tuberculosis H37Rv]	1
A0A644EYZ7	GL50803_16675	84.64	Geranylgeranyl transferase type-2 subunit alpha	Geranylgeranyl transferase type-2 subunit alpha	Geranylgeranyl transferase type-2 subunit alpha	Geranylgeranyl transferase type-2 subunit alpha	Tetratricopeptide repeat protein	169
A0A644EYX3	GL50803_61627	71.7	Uncharacterized protein	None	None	None	None	0
A0A644EYH1	GL50803_5462	84.2	Delta-tubulin	Tubulin delta chain	Delta-tubulin	Delta-tubulin	Tubulin beta chain	477
A0A644EZE4	GL50803_2012	89.8	Uncharacterized protein	Peroxisome biogenesis protein 22	peroxisome biogenesis protein 22	Peroxisome biogenesis protein 22	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	54
A0A644EZR8	GL50803_112647	83.04	VSP	Major surface-labeled trophozoite antigen 417	VSP	Furin	Variant-specific surface protein	233
A0A644EYQ0	GL50803_112113	85.98	VSP	Variant-specific surface protein VSP4A1	Variant-specific surface protein VSP4A1	Proprotein convertase subtilisin/kexin type 6	Variant-specific surface protein	175
A0A644EYY6	GL50803_3599	73.4	Ankyrin repeat protein 1	Ankyrin repeat and SAM domain-containing protein 4B	Ankyrin_rpt-contain_dom domain-containing protein	Ankyrin repeat and SAM domain-containing protein 4B	Ankyrin_rpt-contain_dom domain-containing protein	228
A0A644EZW6	GL50803_9132	37.94	Uncharacterized protein	Transcription factor bHLH118	BHLH domain-containing protein	BHLH domain-containing protein	BHLH domain-containing protein	6
A0A644EZU0	GL50803_5927	83.43	Qc-SNARE 1	Syntaxin-6	t-SNARE coiled-coil homology domain-containing protein	Syntaxin-6	t-SNARE coiled-coil homology domain-containing protein	56
A0A644EZZ2	GL50803_7416	87.77	Methyltransferase	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase	Methyltransf_11 domain-containing protein	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	274
A0A644EZX6	GL50803_8322	52.4	Uncharacterized protein	Pre-mRNA-processing factor 19	Pre-mRNA-processing factor 19	Pre-mRNA-processing factor 19	Striatin domain-containing protein	9
A0A644EYY1	GL50803_33769	95.8	NADH oxidase	NADH oxidase	SidA/IucD/PvdA family monooxygenase	NADH dehydrogenase	Dihydrolipoyl dehydrogenase	132
A0A644EZP4	GL50803_15154	48.9	Uncharacterized protein	RNA binding protein fox-1 homolog 1	RRM domain-containing protein	Elav (Embryonic lethal, abnormal vision,drosophila)-like protein	RRM domain-containing protein	162
A0A644EZF2	GL50803_10846	89.85	P21-C-terminal region-binding protein	Protein bcp1	p21-C-terminal region-binding protein	Protein BCCIP homolog	N-acetyltransferase domain-containing protein	116
A0A644EZ80	GL50803_17166	59.08	Nucleotidyltransferase domain protein	Poly(A) RNA polymerase GLD2	Terminal nucleotidyltransferase 4A	None	Polynucleotide adenylyltransferase	6
A0A644EYU5	GL50803_17330	38.59	Uncharacterized protein	None	None	None	None	0
A0A644EYY9	GL50803_14636	79.35	Ankyrin repeat protein 1	Serine/threonine-protein kinase Nek6	Ankyrin repeat	NimA-like kinase	Protein kinase domain-containing protein	549
A0A644EZ99	GL50803_14168	94.14	Amino acid transporter system N2	Probable sodium-coupled neutral amino acid transporter 6	Sodium-coupled neutral amino acid transporter 3	Aa_trans domain-containing protein	Aa_trans domain-containing protein	217
A0A644EZ89	GL50803_14068	85.36	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit 4	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit	422
A0A644EYU0	GL50803_17336	75.56	Uncharacterized protein	NAD-capped RNA hydrolase ndx-9	NAD(+) diphosphatase	NAD-capped RNA hydrolase ndx-9	NAD(+) diphosphatase	578
A0A644F070	GL50803_15410	87.68	Ankyrin repeat protein 1	Ankyrin repeat and SAM domain-containing protein 3	Serine/threonine protein kinase	Ankyrin repeat and SAM domain-containing protein 3	Ankyrin_rpt-contain_dom domain-containing protein	119
A0A644F0S8	GL50803_12999	50.12	Uncharacterized protein	None	Phosphatidylserine decarboxylase family protein	None	Phosphatidylserine decarboxylase family protein	1
A0A644F065	GL50803_14679	90.99	Ankyrin repeat protein 1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	Protein 21.1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	Protein 21.1	116
A0A644F182	GL50803_8388	60.3	Ankyrin repeat protein 1	Cortactin-binding protein 2	Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	Ankyrin repeat domain-containing protein 24	Ankyrin_rpt-contain_dom domain-containing protein	9
A0A644F199	GL50803_61388	91.47	Prefoldin subunit	Probable prefoldin subunit 1	Prefoldin subunit 6	Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	Prefoldin subunit beta	43
A0A644F0E6	GL50803_113433	65.01	Uncharacterized protein	Leucine-rich repeat LGI family member 3	Dabb family protein	Leucine-rich repeat LGI family member 3	F-box domain-containing protein	45
A0A644F0J1	GL50803_14828	86.01	Alpha/beta hydrolase	Esterase CBG03338	Alpha/beta hydrolase	FSH1 domain-containing protein	Proline iminopeptidase	194
A0A644F0W2	GL50803_103887	67.19	Dicer	Endoribonuclease Dicer-like	Endoribonuclease Dicer	Endoribonuclease Dicer homolog 2b	Ribonuclease 3	1016
A0A644F0F6	GL50803_14999	59.2	Uncharacterized protein	Pleckstrin homology domain-containing family D member 1	None	None	Pleckstrin homology domain-containing family D member 1	1
A0A644F0T0	GL50803_61359	91.47	Beta-1,4-N-acetylglucosaminyltransferase	UDP-N-acetylglucosamine transferase subunit ALG14	Beta-1,4-N-acetylglucosaminyltransferase	ALG14, UDP-N-acetylglucosaminyltransferase subunit	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	958
A0A644F129	GL50803_113450	87.27	VSP with INR	Major surface-labeled trophozoite antigen 417	Variant-specific surface protein 417-4	R-spondin 2	Variant-specific surface protein	230
A0A644F012	GL50803_16728	67.63	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase	254
A0A644F066	GL50803_10969	90.18	Cytosolic Fe-S cluster assembly factor NUBP1 homolog	Cytosolic Fe-S cluster assembly factor nubp1-A	Cytosolic Fe-S cluster assembly factor NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1	Iron-sulfur cluster carrier protein	451
A0A644F186	GL50803_9611	54.12	Fcf2 pre-rRNA processing protein	None	None	None	None	0
A0A644F174	GL50803_15490	67.98	Uncharacterized protein	Cytochrome c oxidase subunit 6, mitochondrial	DUF4476 domain-containing protein	DUF4476 domain-containing protein	DUF4476 domain-containing protein	520
A0A644F1D4	GL50803_5800	81.31	Lipid binding protein	StAR-related lipid transfer protein 6	Lipid binding protein	StAR-related lipid transfer protein 6	START domain-containing protein	245
A0A644F051	GL50803_9130	73.5	Histone methyltransferase HMT1	Histone-lysine N-methyltransferase ASHH1	Histone-lysine N-methyltransferase ASHH1	Os02g0554000 protein	SET domain-containing protein	155
A0A644F0G9	GL50803_8511	39.95	Uncharacterized protein	Dermonecrotic toxin SpeSicTox-betaIIA2ii	Ribosomal protein S11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	ROK family protein	4
A0A644EZZ7	GL50803_7259	89.78	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	433
A0A644F136	GL50803_17389	90.98	Threonylcarbamoyl-AMP synthase	Threonylcarbamoyl-AMP synthase	Threonylcarbamoyl-AMP synthase	Threonylcarbamoyl-AMP synthase	Threonylcarbamoyl-AMP synthase	825
A0A644F0U4	GL50803_32297	85.52	Small nuclear ribonucleoprotein Sm D2	Small nuclear ribonucleoprotein Sm D2	Small nuclear ribonucleoprotein Sm D2	Small nuclear ribonucleoprotein Sm D2	RNA-binding protein Hfq	392
